t,x_m,v_mps,a_mps2,throttle,brake,power_W,F_drive_N,F_rr_N
65.85999999999679,1189.1812244008238,25.70230278792469,0.15426574660152334,1.0,0.0,1200.0,39.68754211246733,18.691974000000002
65.86999999999679,1189.4382628535275,25.70384527036834,0.15424824436501794,1.0,0.0,1200.0,39.68516005807894,18.691974000000002
65.8799999999968,1189.695316729306,25.70538757783049,0.15423074621472263,1.0,0.0,1200.0,39.68277855982375,18.691974000000002
65.8899999999968,1189.9523860264094,25.70692971035198,0.154213252149081,1.0,0.0,1200.0,39.68039761748992,18.691974000000002
65.89999999999681,1190.209470743089,25.708471667973644,0.15419576216653735,1.0,0.0,1200.0,39.678017230865734,18.691974000000002
65.90999999999681,1190.4665708775963,25.710013450736298,0.15417827626553685,1.0,0.0,1200.0,39.675637399739564,18.691974000000002
65.91999999999682,1190.723686428183,25.711555058680744,0.1541607944445255,1.0,0.0,1200.0,39.67325812389992,18.691974000000002
65.92999999999682,1190.9808173931017,25.713096491847764,0.15414331670195008,1.0,0.0,1200.0,39.67087940313541,18.691974000000002
65.93999999999683,1191.2379637706044,25.714637750278126,0.15412584303625837,1.0,0.0,1200.0,39.668501237234764,18.691974000000002
65.94999999999683,1191.4951255589447,25.716178834012585,0.1541083734458988,1.0,0.0,1200.0,39.66612362598683,18.691974000000002
65.95999999999684,1191.7523027563757,25.717719743091877,0.15409090792932068,1.0,0.0,1200.0,39.663746569180546,18.691974000000002
65.96999999999684,1192.0094953611513,25.719260477556727,0.1540734464849741,1.0,0.0,1200.0,39.661370066604974,18.691974000000002
65.97999999999685,1192.2667033715256,25.72080103744784,0.15405598911131005,1.0,0.0,1200.0,39.6589941180493,18.691974000000002
65.98999999999685,1192.5239267857537,25.722341422805908,0.15403853580678029,1.0,0.0,1200.0,39.6566187233028,18.691974000000002
65.99999999999686,1192.7811656020904,25.723881633671606,0.1540210865698374,1.0,0.0,1200.0,39.65424388215487,18.691974000000002
66.00999999999686,1193.0384198187912,25.725421670085595,0.15400364139893483,1.0,0.0,1200.0,39.65186959439503,18.691974000000002
66.01999999999687,1193.295689434112,25.72696153208852,0.15398620029252688,1.0,0.0,1200.0,39.64949585981291,18.691974000000002
66.02999999999687,1193.5529744463092,25.72850121972101,0.1539687632490685,1.0,0.0,1200.0,39.64712267819822,18.691974000000002
66.03999999999688,1193.8102748536394,25.73004073302368,0.15395133026701557,1.0,0.0,1200.0,39.64475004934082,18.691974000000002
66.04999999999688,1194.0675906543597,25.73158007203713,0.15393390134482496,1.0,0.0,1200.0,39.642377973030676,18.691974000000002
66.05999999999689,1194.3249218467276,25.73311923680194,0.15391647648095402,1.0,0.0,1200.0,39.64000644905784,18.691974000000002
66.0699999999969,1194.5822684290013,25.73465822735868,0.1538990556738611,1.0,0.0,1200.0,39.6376354772125,18.691974000000002
66.0799999999969,1194.8396303994386,25.7361970437479,0.1538816389220055,1.0,0.0,1200.0,39.63526505728495,18.691974000000002
66.0899999999969,1195.0970077562988,25.73773568601014,0.15386422622384702,1.0,0.0,1200.0,39.63289518906558,18.691974000000002
66.09999999999691,1195.3544004978407,25.739274154185917,0.15384681757784657,1.0,0.0,1200.0,39.63052587234492,18.691974000000002
66.10999999999692,1195.611808622324,25.740812448315744,0.15382941298246575,1.0,0.0,1200.0,39.62815710691359,18.691974000000002
66.11999999999692,1195.8692321280082,25.742350568440106,0.15381201243616696,1.0,0.0,1200.0,39.625788892562326,18.691974000000002
66.12999999999693,1196.1266710131542,25.74388851459948,0.15379461593741345,1.0,0.0,1200.0,39.62342122908197,18.691974000000002
66.13999999999693,1196.3841252760226,25.745426286834327,0.15377722348466927,1.0,0.0,1200.0,39.62105411626349,18.691974000000002
66.14999999999694,1196.6415949148745,25.746963885185092,0.1537598350763993,1.0,0.0,1200.0,39.61868755389794,18.691974000000002
66.15999999999694,1196.8990799279713,25.7485013096922,0.15374245071106912,1.0,0.0,1200.0,39.61632154177651,18.691974000000002
66.16999999999695,1197.1565803135752,25.750038560396074,0.1537250703871454,1.0,0.0,1200.0,39.61395607969049,18.691974000000002
66.17999999999695,1197.4140960699485,25.751575637337105,0.15370769410309534,1.0,0.0,1200.0,39.61159116743128,18.691974000000002
66.18999999999696,1197.6716271953542,25.75311254055568,0.15369032185738712,1.0,0.0,1200.0,39.60922680479039,18.691974000000002
66.19999999999696,1197.929173688055,25.754649270092166,0.15367295364848962,1.0,0.0,1200.0,39.60686299155944,18.691974000000002
66.20999999999697,1198.1867355463148,25.756185825986915,0.1536555894748726,1.0,0.0,1200.0,39.60449972753016,18.691974000000002
66.21999999999697,1198.4443127683976,25.757722208280263,0.15363822933500657,1.0,0.0,1200.0,39.602137012494396,18.691974000000002
66.22999999999698,1198.7019053525678,25.759258417012536,0.15362087322736304,1.0,0.0,1200.0,39.59977484624411,18.691974000000002
66.23999999999698,1198.95951329709,25.76079445222404,0.153603521150414,1.0,0.0,1200.0,39.59741322857135,18.691974000000002
66.24999999999699,1199.2171366002297,25.762330313955065,0.1535861731026325,1.0,0.0,1200.0,39.595052159268285,18.691974000000002
66.25999999999699,1199.474775260252,25.76386600224589,0.15356882908249236,1.0,0.0,1200.0,39.592691638127214,18.691974000000002
66.269999999997,1199.7324292754233,25.765401517136777,0.1535514890884682,1.0,0.0,1200.0,39.59033166494052,18.691974000000002
66.279999999997,1199.99009864401,25.766936858667968,0.15353415311903526,1.0,0.0,1200.0,39.5879722395007,18.691974000000002
66.28999999999701,1200.2477833642788,25.768472026879696,0.15351682117266993,1.0,0.0,1200.0,39.58561336160038,18.691974000000002
66.29999999999701,1200.505483434497,25.770007021812173,0.15349949324784912,1.0,0.0,1200.0,39.583255031032266,18.691974000000002
66.30999999999702,1200.763198852932,25.771541843505602,0.15348216934305073,1.0,0.0,1200.0,39.580897247589206,18.691974000000002
66.31999999999702,1201.020929617852,25.77307649200017,0.15346484945675337,1.0,0.0,1200.0,39.578540011064135,18.691974000000002
66.32999999999703,1201.2786757275255,25.77461096733604,0.15344753358743643,1.0,0.0,1200.0,39.5761833212501,18.691974000000002
66.33999999999703,1201.5364371802211,25.77614526955338,0.1534302217335801,1.0,0.0,1200.0,39.57382717794025,18.691974000000002
66.34999999999704,1201.794213974208,25.777679398692314,0.15341291389366551,1.0,0.0,1200.0,39.57147158092788,18.691974000000002
66.35999999999704,1202.0520061077561,25.779213354792976,0.15339561006617441,1.0,0.0,1200.0,39.56911653000634,18.691974000000002
66.36999999999705,1202.3098135791352,25.78074713789547,0.15337831024958953,1.0,0.0,1200.0,39.56676202496914,18.691974000000002
66.37999999999705,1202.5676363866155,25.782280748039895,0.15336101444239433,1.0,0.0,1200.0,39.56440806560987,18.691974000000002
66.38999999999706,1202.8254745284682,25.783814185266326,0.1533437226430729,1.0,0.0,1200.0,39.56205465172222,18.691974000000002
66.39999999999706,1203.0833280029644,25.78534744961483,0.15332643485011038,1.0,0.0,1200.0,39.559701783100024,18.691974000000002
